1 1 2 5.580 0.000 0.000
2 1 2 5.580 3.700 0.000
3 1 2 5.580 3.700 9.400
4 1 2 5.580 0.000 9.400
5 1 2 4.220 1.860 4.510
6 1 2 4.220 5.560 4.510
7 2 4 2.790 2.120 1.280
8 2 4 2.790 5.230 1.280
9 2 4 1.780 7.390 3.210
10 2 4 2.790 1.530 8.490
11 2 4 1.860 3.670 6.420
12 2 4 2.790 5.820 8.490
13 3 -2 2.790 1.260 2.730
14 3 -2 1.480 1.880 0.430
15 3 -2 4.100 1.880 0.430
16 3 -2 2.790 6.130 2.730
17 3 -2 2.790 3.700 1.750
18 3 -2 1.480 5.470 0.430
19 3 -2 4.100 5.460 0.430
20 3 -2 1.780 7.390 4.800
21 3 -2 0.390 7.390 2.570
22 3 -2 2.790 0.000 7.920
23 3 -2 4.100 1.770 9.350
24 3 -2 1.480 1.770 9.350
25 3 -2 2.790 2.480 7.060
26 3 -2 1.950 3.700 4.850
27 3 -2 2.790 4.770 7.060
28 3 -2 1.480 5.580 9.350
29 3 -2 4.100 5.580 9.350
30 3 -2 0.420 3.700 6.970
31 3 -2 5.580 3.700 6.900
32 3 -2 5.580 0.000 2.510
33 4 1 6.580 3.700 6.900
34 4 1 5.260 4.640 6.900
35 4 1 6.580 0.000 2.510
36 4 1 5.260 0.950 2.510
37 1 2 11.160 3.700 0.000
38 1 2 11.160 7.390 0.000
39 1 2 11.160 7.390 9.400
40 1 2 11.160 3.700 9.400
41 1 2 9.800 5.560 4.510
42 1 2 9.800 9.250 4.510
43 2 4 8.370 5.820 1.280
44 2 4 8.370 8.920 1.280
45 2 4 7.360 11.090 3.210
46 2 4 8.370 5.230 8.490
47 2 4 7.440 7.370 6.420
48 2 4 8.370 9.510 8.490
49 3 -2 8.370 4.950 2.730
50 3 -2 7.060 5.580 0.430
51 3 -2 9.680 5.580 0.430
52 3 -2 8.370 9.830 2.730
53 3 -2 8.370 7.390 1.750
54 3 -2 7.060 9.160 0.430
55 3 -2 9.680 9.160 0.430
56 3 -2 7.360 11.090 4.800
57 3 -2 5.970 11.090 2.570
58 3 -2 8.370 3.700 7.920
59 3 -2 9.680 5.470 9.350
60 3 -2 7.060 5.470 9.350
61 3 -2 8.370 6.170 7.060
62 3 -2 7.530 7.390 4.850
63 3 -2 8.370 8.460 7.060
64 3 -2 7.060 9.280 9.350
65 3 -2 9.680 9.270 9.350
66 3 -2 6.000 7.390 6.970
67 3 -2 11.160 7.390 6.900
68 3 -2 11.160 3.700 2.510
69 4 1 12.160 7.390 6.900
70 4 1 10.840 8.340 6.900
71 4 1 12.160 3.700 2.510
72 4 1 10.840 4.640 2.510
73 1 2 8.370 1.850 11.390
74 1 2 8.370 5.540 11.390
75 1 2 8.370 5.540 20.790
76 1 2 8.370 1.850 20.790
77 1 2 7.010 3.710 15.900
78 1 2 7.010 7.410 15.900
79 2 4 5.580 3.970 12.660
80 2 4 5.580 7.070 12.660
81 2 4 4.570 9.240 14.600
82 2 4 5.580 3.380 19.880
83 2 4 4.650 5.520 17.810
84 2 4 5.580 7.660 19.880
85 3 -2 5.580 3.100 14.120
86 3 -2 4.270 3.730 11.820
87 3 -2 6.890 3.730 11.820
88 3 -2 5.580 7.980 14.120
89 3 -2 5.580 5.540 13.140
90 3 -2 4.270 7.310 11.820
91 3 -2 6.890 7.310 11.820
92 3 -2 4.570 9.240 16.190
93 3 -2 3.180 9.240 13.960
94 3 -2 5.580 1.850 19.310
95 3 -2 6.890 3.620 20.740
96 3 -2 4.270 3.620 20.740
97 3 -2 5.580 4.320 18.450
98 3 -2 4.740 5.540 16.240
99 3 -2 5.580 6.610 18.450
100 3 -2 4.270 7.430 20.740
101 3 -2 6.890 7.430 20.740
102 3 -2 3.210 5.550 18.360
103 3 -2 8.370 5.540 18.290
104 3 -2 8.370 1.850 13.890
105 4 1 9.370 5.540 18.290
106 4 1 8.050 6.490 18.290
107 4 1 9.370 1.850 13.890
108 4 1 8.050 2.790 13.890
109 1 2 13.950 5.540 11.390
110 1 2 13.950 9.240 11.390
111 1 2 13.950 9.240 20.790
112 1 2 13.950 5.540 20.790
113 1 2 12.590 7.410 15.900
114 1 2 12.590 11.100 15.900
115 2 4 11.160 7.660 12.660
116 2 4 11.160 10.770 12.660
117 2 4 10.150 12.930 14.600
118 2 4 11.160 7.070 19.880
119 2 4 10.230 9.220 17.810
120 2 4 11.160 11.360 19.880
121 3 -2 11.160 6.800 14.120
122 3 -2 9.850 7.420 11.820
123 3 -2 12.470 7.430 11.820
124 3 -2 11.160 11.680 14.120
125 3 -2 11.160 9.240 13.140
126 3 -2 9.850 11.010 11.820
127 3 -2 12.470 11.000 11.820
128 3 -2 10.150 12.930 16.190
129 3 -2 8.760 12.930 13.960
130 3 -2 11.160 5.540 19.310
131 3 -2 12.470 7.320 20.740
132 3 -2 9.850 7.310 20.740
133 3 -2 11.160 8.020 18.450
134 3 -2 10.320 9.240 16.240
135 3 -2 11.160 10.310 18.450
136 3 -2 9.850 11.130 20.740
137 3 -2 12.470 11.120 20.740
138 3 -2 8.790 9.240 18.360
139 3 -2 13.950 9.240 18.290
140 3 -2 13.950 5.540 13.890
141 4 1 14.950 9.240 18.290
142 4 1 13.630 10.180 18.290
143 4 1 14.950 5.540 13.890
144 4 1 13.630 6.490 13.890 
